tip	date	age
ON669957	2021.638356	0.276712329
ON671002	2021.641096	0.273972603
ON671214	2021.654795	0.260273973
ON671257	2021.643836	0.271232877
ON670444	2021.786301	0.128767123
ON670578	2021.805479	0.109589041
ON672104	2021.780822	0.134246575
ON670499	2021.79726	0.117808219
ON671632	2021.715068	0.2
ON671283	2021.660274	0.254794521
ON671265	2021.652055	0.263013699
ON671266	2021.652055	0.263013699
ON671172	2021.652055	0.263013699
ON671217	2021.657534	0.257534247
ON670079	2021.665753	0.249315068
ON669975	2021.649315	0.265753425
ON670194	2021.723288	0.191780822
ON670244	2021.731507	0.183561644
ON671528	2021.690411	0.224657534
ON671624	2021.715068	0.2
ON671647	2021.726027	0.189041096
ON671752	2021.750685	0.164383562
ON671923	2021.769863	0.145205479
ON670188	2021.720548	0.194520548
ON670915	2021.624658	0.290410959
ON671040	2021.643836	0.271232877
ON671117	2021.649315	0.265753425
ON670210	2021.723288	0.191780822
ON671416	2021.673973	0.24109589
ON671936	2021.775342	0.139726027
ON671273	2021.657534	0.257534247
ON671046	2021.643836	0.271232877
ON670233	2021.742466	0.17260274
ON672064	2021.783562	0.131506849
ON671527	2021.690411	0.224657534
ON671659	2021.728767	0.18630137
ON670826	2021.915068	0
ON672119	2021.789041	0.126027397
ON672272	2021.80274	0.112328767
ON672557	2021.827397	0.087671233
ON672481	2021.821918	0.093150685
ON672790	2021.854795	0.060273973
ON673004	2021.876712	0.038356164
ON671731	2021.745205	0.169863014
ON671026	2021.643836	0.271232877
ON669359	2021.646575	0.268493151
ON669421	2021.79726	0.117808219
ON669763	2021.873973	0.04109589
ON672627	2021.835616	0.079452055
ON671810	2021.758904	0.156164384
ON672638	2021.838356	0.076712329
ON669936	2021.912329	0.002739726
ON671774	2021.750685	0.164383562
ON671978	2021.769863	0.145205479
ON669465	2021.80274	0.112328767
ON670474	2021.786301	0.128767123
ON670682	2021.832877	0.082191781
ON671783	2021.753425	0.161643836
ON672754	2021.854795	0.060273973
ON672979	2021.876712	0.038356164
ON669761	2021.871233	0.043835616
ON670865	2021.852055	0.063013699
ON669774	2021.876712	0.038356164
ON669844	2021.884932	0.030136986
ON669679	2021.854795	0.060273973
ON669745	2021.873973	0.04109589
ON672736	2021.852055	0.063013699
ON670553	2021.808219	0.106849315
ON670777	2021.871233	0.043835616
ON672348	2021.810959	0.104109589
ON669740	2021.860274	0.054794521
ON669866	2021.89589	0.019178082
ON672101	2021.789041	0.126027397
ON670632	2021.813699	0.101369863
ON670743	2021.852055	0.063013699
ON669581	2021.830137	0.084931507
ON670774	2021.860274	0.054794521
ON670869	2021.871233	0.043835616
ON671795	2021.756164	0.15890411
ON671813	2021.758904	0.156164384
ON669814	2021.879452	0.035616438
ON672947	2021.863014	0.052054795
ON671699	2021.739726	0.175342466
ON670265	2021.747945	0.167123288
ON670357	2021.780822	0.134246575
ON670848	2021.854795	0.060273973
ON671821	2021.761644	0.153424658
ON670544	2021.805479	0.109589041
ON669511	2021.805479	0.109589041
ON670747	2021.854795	0.060273973
ON669808	2021.884932	0.030136986
ON669888	2021.89863	0.016438356
ON669587	2021.835616	0.079452055
ON672942	2021.873973	0.04109589
ON672033	2021.783562	0.131506849
ON672181	2021.794521	0.120547945
ON670692	2021.832877	0.082191781
ON671839	2021.761644	0.153424658
ON671679	2021.731507	0.183561644
ON672032	2021.783562	0.131506849
