accession	strain_name	collection_date	geo_location	host	seqnames	start	end	width	strand	type	gene	codon_start	product	protein_id	loctype	gene_id	transcript_id	function.
GQ895027	A/New York/03/2009	21-Jan-2009	USA: New York state	Homo sapiens	A/New York/03/2009	1	1701	1701	+	CDS	HA	1	hemagglutinin	ACV72370.1	normal	HA	HA.1	NA
KY116150	A/New York/99/2016	23-Sep-2016	USA	Homo sapiens	A/New York/99/2016	18	1718	1701	+	CDS	HA	1	hemagglutinin	APC58926.1	normal	HA	HA.1	receptor binding and fusion protein
KY090424	A/New York/56/2015	19-Jul-2015	USA	Homo sapiens	A/New York/56/2015	1	1701	1701	+	CDS	HA	1	hemagglutinin	APB91161.1	normal	HA	HA.1	receptor binding and fusion protein
KT840955	A/New York/40/2014	29-Dec-2014	USA	Homo sapiens	A/New York/40/2014	1	1701	1701	+	CDS	HA	1	hemagglutinin	ALH32941.1	normal	HA	HA.1	receptor binding and fusion protein
KM064463	A/New York/08/2013	18-Sep-2013	USA	Homo sapiens	A/New York/08/2013	1	1701	1701	+	CDS	HA	1	hemagglutinin	AIE10170.1	normal	HA	HA.1	receptor binding and fusion protein
KF790419	A/New York/60/2012	25-Dec-2012	USA	Homo sapiens	A/New York/60/2012	1	1701	1701	+	CDS	HA	1	hemagglutinin	AGZ61544.1	normal	HA	HA.1	receptor binding and fusion protein
KC883137	A/New York/08/2011	01-Mar-2011	USA	Homo sapiens	A/New York/08/2011	1	1701	1701	+	CDS	HA	1	hemagglutinin	AGK74480.1	normal	HA	HA.1	receptor binding and fusion protein
KC535433	A/Virginia/03/2010	02-Apr-2010	USA	Homo sapiens	A/Virginia/03/2010	1	1701	1701	+	CDS	HA	1	hemagglutinin	AGF68811.1	normal	HA	HA.1	receptor binding and fusion protein
FJ686948	A/New York/28/2008	13-May-2008	USA: New York state	Homo sapiens	A/New York/28/2008	1	1701	1701	+	CDS	HA	1	hemagglutinin	ACM51247.1	normal	HA	HA.1	NA
KC893180	A/New York/02/2012	16-Jan-2012	USA	Homo sapiens	A/New York/02/2012	1	1701	1701	+	CDS	HA	1	hemagglutinin	AGL07466.1	normal	HA	HA.1	receptor binding and fusion protein
